Sr No,Course Name,Assignment,Date Published,Deadline
1,Certification Course : ML and Data Science,Week 2 Exercise ,2024-07-05T17:00:56.703Z,No deadline
2,CSE201 - Java Programming 2024 - 25,3CSE1 Continuous Evaluation for Unit - 1,2024-07-08T03:51:41.424Z,No deadline
3,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,2CSE1 -C Students (Internal Practical Examination),2024-04-09T03:53:06.354Z,"{'year': 2024, 'month': 4, 'day': 30}"
4,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Submission of 
Practical -11 Aim:- Create a C++ code to take employee experience to represent as floating point value.
Practical - 12 Aim:- Develop a C++ program for CHARUSAT students marksheet generator (practical 1) using class. 
Practical - 13 Aim:- Update the CHARUSAT employee system (practical 8) as per given class diagram.
Practical - 14 Aim:- Develop a C++ program for library management system. 
Practical - 15 Aim:- Develop a C++ program for amazon product as per given class diagram. 
Practical - 16 Aim:- Update the TATA motors system (practical 3) to get input from the file. ",2024-04-26T08:29:39.114Z,"{'year': 2024, 'month': 5, 'day': 3}"
5,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Dear 2CSE2 - B and 2CSE2 -C Students (Internal Practical Examination),2024-04-08T04:56:12.481Z,"{'year': 2024, 'month': 4, 'day': 8}"
6,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment CE144,2024-04-07T10:58:27.573Z,"{'year': 2024, 'month': 4, 'day': 22}"
7,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -10 Aim:- Create a C++ code to take floating point number and assign to employee experience.,2024-04-02T09:06:15.371Z,"{'year': 2024, 'month': 4, 'day': 20}"
8,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -9 Aim:- Create a C++ code for millimeter and centimeter measurement converter.,2024-04-02T09:04:22.727Z,"{'year': 2024, 'month': 4, 'day': 18}"
9,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -8 Aim:- Extend the functionality of CHARUSAT employee system (practical 6) to manage two type of employee details teaching and non-teaching employee.,2024-03-27T04:31:22.387Z,"{'year': 2024, 'month': 4, 'day': 15}"
10,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -7 Aim:- Create a C++ program to perform simple mathematic operations of complex number. ,2024-03-27T04:30:33.582Z,"{'year': 2024, 'month': 4, 'day': 10}"
11,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -6 Aim:- Extend the functionality of CHARUSAT employee system (practical 2) to retrieve the average experience of the CHARUSAT employees.,2024-03-27T04:28:51.099Z,"{'year': 2024, 'month': 4, 'day': 6}"
12,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -5 Aim:- Develop a system to calculate the area of circle.,2024-03-11T04:36:42.475Z,"{'year': 2024, 'month': 3, 'day': 18}"
13,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -4 Aim:- Develop a system to calculate the area of a shape.,2024-02-21T03:58:03.773Z,"{'year': 2024, 'month': 3, 'day': 2}"
14,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -3 Aim:- Create a car data management system for TATA motors using C++.,2024-02-21T03:56:30.640Z,"{'year': 2024, 'month': 2, 'day': 27}"
15,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -2 Aim:- Develop a C++ program for Employee details generator.,2024-02-12T03:48:40.529Z,"{'year': 2024, 'month': 2, 'day': 20}"
16,CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -1 Aim:- Develop a C++ program for CHARUSAT student marksheet generator.,2024-02-02T05:09:43.159Z,"{'year': 2024, 'month': 2, 'day': 17}"
17,DCSE-1 ES 1st year_2023-24,DCSE1_MCQ Test Environmental Science,2024-03-28T07:56:49.555Z,"{'year': 2024, 'month': 3, 'day': 30}"
18,DCSE-1 ES 1st year_2023-24,PPT submission,2024-02-16T03:58:05.784Z,No deadline
19,DCSE-1 ES 1st year_2023-24,Open learn certificate course ,2024-02-03T08:09:50.257Z,No deadline
