Course Name,Assignment Title,Assignee
Certification Course : ML and Data Science,Week 2 Exercise ,Unknown
CSE201 - Java Programming 2024 - 25,3CSE1 Continuous Evaluation for Unit - 1,Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,2CSE1 -C Students (Internal Practical Examination),Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,"Submission of 
Practical -11 Aim:- Create a C++ code to take employee experience to represent as floating point value.
Practical - 12 Aim:- Develop a C++ program for CHARUSAT students marksheet generator (practical 1) using class. 
Practical - 13 Aim:- Update the CHARUSAT employee system (practical 8) as per given class diagram.
Practical - 14 Aim:- Develop a C++ program for library management system. 
Practical - 15 Aim:- Develop a C++ program for amazon product as per given class diagram. 
Practical - 16 Aim:- Update the TATA motors system (practical 3) to get input from the file. ",Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Dear 2CSE2 - B and 2CSE2 -C Students (Internal Practical Examination),Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Assignment CE144,Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -10 Aim:- Create a C++ code to take floating point number and assign to employee experience.,Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -9 Aim:- Create a C++ code for millimeter and centimeter measurement converter.,Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -8 Aim:- Extend the functionality of CHARUSAT employee system (practical 6) to manage two type of employee details teaching and non-teaching employee.,Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -7 Aim:- Create a C++ program to perform simple mathematic operations of complex number. ,Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -6 Aim:- Extend the functionality of CHARUSAT employee system (practical 2) to retrieve the average experience of the CHARUSAT employees.,Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -5 Aim:- Develop a system to calculate the area of circle.,Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -4 Aim:- Develop a system to calculate the area of a shape.,Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -3 Aim:- Create a car data management system for TATA motors using C++.,Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -2 Aim:- Develop a C++ program for Employee details generator.,Unknown
CE144 OBJECT ORIENTED PROGRAMMING WITH C++,Submission of Practical -1 Aim:- Develop a C++ program for CHARUSAT student marksheet generator.,Unknown
DCSE-1 ES 1st year_2023-24,DCSE1_MCQ Test Environmental Science,Unknown
DCSE-1 ES 1st year_2023-24,PPT submission,Unknown
DCSE-1 ES 1st year_2023-24,Open learn certificate course ,Unknown
